,K,Corpus,Baseline Features,PMI Feature,Training Accuracy,Test Accuracy,Bias,Coefficients
0,16,brown,"['dlg', 'wtembdep', 'ldep', 'lm', 'bkpsl']",spearman_dependents,79.73002096340099,79.58606474582128,0.008249230864139652,"{'pmi_adjacent': 0.02927383435461151, 'pmi_neardep': -0.0450761905917828, 'spearman_allwords': -0.1395613676535543, 'spearman_dependents': -0.26798818992313006, 'dlg': -0.7471084804589668, 'wtembdep': -0.3927993155007493, 'ldep': -0.0812102748611633, 'lm': 1.3810496669618717, 'bkpsl': 1.0728383023865922}"
1,16,brown,"['lm', 'bkpsl']",spearman_dependents,78.49709686489756,78.50915383061388,0.006431409821036128,"{'pmi_adjacent': -0.025984856202639624, 'pmi_neardep': 0.041071542345972496, 'spearman_allwords': -0.05897299314259016, 'spearman_dependents': -0.19635714652411113, 'lm': 1.431392816220369, 'bkpsl': 1.1219439377875344}"
2,16,brown,"['dlg', 'wtembdep', 'ldep']",spearman_dependents,70.66930306354323,70.59538692611058,-0.0013763762907297848,"{'pmi_adjacent': 0.18365651851551557, 'pmi_neardep': -0.15376237983583452, 'spearman_allwords': -0.2553572429329422, 'spearman_dependents': -0.23704159890545612, 'dlg': -1.3234436752506977, 'wtembdep': -0.10334740985816838, 'ldep': -0.05875175405285055}"
